repository,month,state
4am-robotics/cob_common,2019-02,Zombie
4am-robotics/cob_common,2019-03,Running
4am-robotics/cob_common,2019-04,Running
4am-robotics/cob_common,2019-05,Running
4am-robotics/cob_common,2019-06,Zombie
4am-robotics/cob_common,2019-07,Running
4am-robotics/cob_common,2019-08,Running
4am-robotics/cob_common,2019-09,Zombie
4am-robotics/cob_common,2019-10,Running
4am-robotics/cob_common,2019-11,Running
4am-robotics/cob_common,2019-12,Dead
4am-robotics/cob_common,2020-01,Running
4am-robotics/cob_common,2020-02,Dead
4am-robotics/cob_common,2020-03,Running
4am-robotics/cob_common,2020-04,Running
4am-robotics/cob_common,2020-05,Running
4am-robotics/cob_common,2020-06,Dead
4am-robotics/cob_common,2020-07,Zombie
4am-robotics/cob_common,2020-08,Running
4am-robotics/cob_common,2020-09,Running
4am-robotics/cob_common,2020-10,Running
4am-robotics/cob_common,2020-11,Running
4am-robotics/cob_common,2020-12,Dead
4am-robotics/cob_common,2021-01,Dead
4am-robotics/cob_common,2021-02,Running
4am-robotics/cob_common,2021-03,Dead
4am-robotics/cob_common,2021-04,Dead
4am-robotics/cob_common,2021-05,Dead
4am-robotics/cob_common,2021-06,Dead
4am-robotics/cob_common,2021-07,Running
4am-robotics/cob_common,2021-08,Running
4am-robotics/cob_common,2021-09,Dead
4am-robotics/cob_common,2021-10,Dead
4am-robotics/cob_common,2021-11,Dead
4am-robotics/cob_common,2021-12,Running
4am-robotics/cob_common,2022-01,Dead
4am-robotics/cob_common,2022-02,Dead
4am-robotics/cob_common,2022-03,Dead
4am-robotics/cob_common,2022-04,Dead
4am-robotics/cob_common,2022-05,Running
4am-robotics/cob_common,2022-06,Dead
4am-robotics/cob_common,2022-07,Running
4am-robotics/cob_common,2022-08,Dead
4am-robotics/cob_common,2022-09,Dead
4am-robotics/cob_common,2022-10,Zombie
4am-robotics/cob_common,2022-11,Running
4am-robotics/cob_common,2022-12,Dead
4am-robotics/cob_common,2023-01,Dead
4am-robotics/cob_common,2023-02,Dead
4am-robotics/cob_common,2023-03,Dead
4am-robotics/cob_common,2023-04,Running
4am-robotics/cob_common,2023-05,Dead
4am-robotics/cob_common,2023-06,Dead
4am-robotics/cob_common,2023-07,Dead
4am-robotics/cob_common,2023-08,Dead
4am-robotics/cob_common,2023-09,Dead
4am-robotics/cob_common,2023-10,Running
4am-robotics/cob_common,2023-11,Running
4am-robotics/cob_common,2023-12,Dead
4am-robotics/cob_common,2024-01,Zombie
4am-robotics/cob_common,2024-02,Running
4am-robotics/cob_common,2024-03,Running
4am-robotics/cob_common,2024-04,Running
4am-robotics/cob_common,2024-05,Dead
4am-robotics/cob_common,2024-06,Running
4am-robotics/cob_common,2024-07,Zombie
4am-robotics/cob_common,2024-08,Running
4am-robotics/cob_common,2024-09,Dead
4am-robotics/cob_common,2024-10,Dead
4am-robotics/cob_common,2024-11,Running
4am-robotics/cob_common,2024-12,Zombie
4am-robotics/cob_common,2025-01,Zombie
4am-robotics/cob_common,2025-02,Dead
4am-robotics/cob_common,2025-03,Zombie
4am-robotics/cob_common,2025-04,Dead
4am-robotics/cob_common,2025-05,Zombie
4am-robotics/cob_common,2025-06,Dead
4am-robotics/cob_common,2025-07,Dead
4am-robotics/cob_common,2025-08,Zombie
4am-robotics/cob_common,2025-09,Running
4am-robotics/cob_common,2025-10,Dead
4am-robotics/cob_common,2025-11,Zombie
4am-robotics/cob_common,2025-12,Dead
4am-robotics/cob_common,2026-01,Dead
4am-robotics/cob_common,2026-02,Dead
4am-robotics/cob_common,2026-03,Dead
ADVRHumanoids/nicla_vision_ros2,2024-05,Running
ADVRHumanoids/nicla_vision_ros2,2024-06,Running
ADVRHumanoids/nicla_vision_ros2,2024-07,Running
ADVRHumanoids/nicla_vision_ros2,2024-08,Running
ADVRHumanoids/nicla_vision_ros2,2024-09,Running
ADVRHumanoids/nicla_vision_ros2,2024-10,Dead
ADVRHumanoids/nicla_vision_ros2,2024-11,Dead
ADVRHumanoids/nicla_vision_ros2,2024-12,Dead
ADVRHumanoids/nicla_vision_ros2,2025-01,Dead
ADVRHumanoids/nicla_vision_ros2,2025-02,Dead
ADVRHumanoids/nicla_vision_ros2,2025-03,Dead
ADVRHumanoids/nicla_vision_ros2,2025-04,Dead
ADVRHumanoids/nicla_vision_ros2,2025-05,Dead
