repository,path,final_state,is_alive,first_month,last_activity_month,lifespan_months
JafarAbdi/jacro,Running(1m)-Dead(1m)-Zombie(1m)-Dead(6m)-Zombie(2m)-Dead(1m)-Zombie(1m)-Dead(4m),Dead,True,2024-11,2025-11,17
Jannkar/turtle_nest,Running(3m)-Zombie(1m)-Dead(5m)-Running(4m)-Dead(1m)-Running(2m)-Dead(4m),Dead,True,2024-08,2025-11,20
KIT-MRT/mrt_cmake_modules,Running(6m)-Dead(1m)-Running(3m)-Dead(1m)-Running(61m)-Dead(3m)-Running(4m)-Zombie(1m)-Running(1m)-Zombie(1m)-Dead(4m)-Running(1m)-Zombie(1m)-Dead(8m)-Zombie(1m)-Dead(4m)-Zombie(1m)-Dead(1m)-Running(1m)-Dead(1m)-Zombie(2m)-Running(4m)-Dead(15m)-Zombie(1m)-Dead(2m),Dead,True,2015-07,2026-01,129
Kinovarobotics/ros2_kortex,Running(4m)-Zombie(1m)-Running(4m)-Dead(2m)-Running(1m)-Dead(3m)-Running(1m)-Zombie(1m)-Dead(2m)-Zombie(1m)-Running(1m)-Dead(1m)-Running(5m)-Zombie(2m)-Running(2m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(2m)-Zombie(2m)-Running(7m)-Zombie(1m)-Running(2m)-Zombie(3m)-Running(1m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(1m)-Zombie(1m),Zombie,True,2021-06,2026-03,58
KumarRobotics/ublox,Running(1m)-Dead(1m)-Running(3m)-Dead(1m)-Running(1m)-Dead(7m)-Zombie(1m)-Dead(11m)-Running(2m)-Dead(2m)-Running(1m)-Zombie(1m)-Dead(3m)-Zombie(1m)-Running(3m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(3m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(2m)-Dead(1m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(3m)-Zombie(1m)-Running(6m)-Zombie(1m)-Running(2m)-Zombie(2m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(5m)-Running(2m)-Zombie(1m)-Running(2m)-Zombie(2m)-Running(2m)-Zombie(1m)-Running(2m)-Zombie(1m)-Running(2m)-Zombie(2m)-Running(1m)-Zombie(18m)-Dead(1m)-Zombie(7m)-Dead(1m)-Zombie(10m)-Dead(2m),Dead,True,2014-06,2026-01,142
LOEWE-emergenCITY/ros_babel_fish,Running(1m)-Dead(1m)-Zombie(1m)-Dead(6m)-Zombie(1m)-Running(1m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Dead(13m)-Running(2m)-Dead(1m)-Running(1m)-Zombie(1m)-Running(11m)-Dead(1m)-Running(1m)-Dead(4m)-Running(2m)-Dead(1m)-Zombie(2m)-Dead(1m),Dead,True,2021-07,2026-02,57
LORD-MicroStrain/ntrip_client,Running(2m)-Zombie(1m)-Running(1m)-Zombie(1m)-Running(1m)-Zombie(3m)-Running(1m)-Zombie(2m)-Dead(1m)-Zombie(1m)-Dead(1m)-Zombie(9m)-Dead(3m)-Running(1m)-Dead(1m)-Zombie(1m)-Dead(1m)-Zombie(3m)-Dead(1m)-Zombie(1m)-Dead(1m)-Running(1m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Running(1m)-Zombie(1m)-Dead(4m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(1m)-Zombie(1m)-Dead(1m),Dead,True,2021-11,2026-02,53
LeoRover/leo_common-ros2,Running(1m)-Dead(22m)-Running(1m)-Dead(8m)-Running(1m)-Dead(1m)-Running(1m)-Dead(2m)-Running(1m)-Dead(12m)-Running(3m)-Dead(2m)-Running(1m)-Dead(1m)-Running(2m)-Dead(5m)-Running(1m)-Dead(4m)-Running(2m)-Dead(6m)-Running(1m)-Dead(3m),Dead,True,2019-07,2025-12,81
LeoRover/leo_desktop-ros2,Running(1m)-Dead(7m)-Running(1m)-Dead(8m)-Running(1m)-Dead(4m)-Running(2m)-Dead(12m)-Zombie(1m)-Running(1m)-Dead(5m)-Running(1m)-Dead(11m)-Running(1m)-Dead(10m),Dead,False,2020-10,2025-05,66
LeoRover/leo_robot-ros2,Running(1m)-Dead(1m)-Running(1m)-Dead(1m)-Running(3m)-Dead(1m)-Running(1m)-Dead(1m)-Running(1m)-Dead(6m)-Running(4m)-Dead(4m)-Zombie(1m)-Dead(2m)-Zombie(1m)-Dead(3m)-Running(1m)-Dead(4m)-Running(2m)-Dead(1m)-Running(1m)-Dead(1m)-Zombie(1m)-Dead(2m)-Running(2m)-Dead(2m),Dead,True,2022-03,2026-01,49
