ros_distro,package,rosdistro_repo_key,repo_url,repo_url_type,github_owner,github_repo,resolved,resolved_via
kilted,rosidl_typesupport_interface,rosidl,https://github.com/ros2/rosidl.git,source,ros2,rosidl,True,rosdistro_release_packages
kilted,rosidl_typesupport_introspection_c,rosidl,https://github.com/ros2/rosidl.git,source,ros2,rosidl,True,rosdistro_release_packages
kilted,rosidl_typesupport_introspection_cpp,rosidl,https://github.com/ros2/rosidl.git,source,ros2,rosidl,True,rosdistro_release_packages
kilted,rosidlcpp,rosidlcpp,https://github.com/Tonywelte/rosidlcpp.git,source,Tonywelte,rosidlcpp,True,rosdistro_release_packages
kilted,rosidlcpp_generator_c,rosidlcpp,https://github.com/Tonywelte/rosidlcpp.git,source,Tonywelte,rosidlcpp,True,rosdistro_release_packages
kilted,rosidlcpp_generator_core,rosidlcpp,https://github.com/Tonywelte/rosidlcpp.git,source,Tonywelte,rosidlcpp,True,rosdistro_release_packages
kilted,rosidlcpp_generator_cpp,rosidlcpp,https://github.com/Tonywelte/rosidlcpp.git,source,Tonywelte,rosidlcpp,True,rosdistro_release_packages
kilted,rosidlcpp_generator_py,rosidlcpp,https://github.com/Tonywelte/rosidlcpp.git,source,Tonywelte,rosidlcpp,True,rosdistro_release_packages
kilted,rosidlcpp_generator_type_description,rosidlcpp,https://github.com/Tonywelte/rosidlcpp.git,source,Tonywelte,rosidlcpp,True,rosdistro_release_packages
kilted,rosidlcpp_parser,rosidlcpp,https://github.com/Tonywelte/rosidlcpp.git,source,Tonywelte,rosidlcpp,True,rosdistro_release_packages
kilted,rosidlcpp_typesupport_c,rosidlcpp,https://github.com/Tonywelte/rosidlcpp.git,source,Tonywelte,rosidlcpp,True,rosdistro_release_packages
kilted,rosidlcpp_typesupport_cpp,rosidlcpp,https://github.com/Tonywelte/rosidlcpp.git,source,Tonywelte,rosidlcpp,True,rosdistro_release_packages
kilted,rosidlcpp_typesupport_fastrtps_c,rosidlcpp,https://github.com/Tonywelte/rosidlcpp.git,source,Tonywelte,rosidlcpp,True,rosdistro_release_packages
kilted,rosidlcpp_typesupport_fastrtps_cpp,rosidlcpp,https://github.com/Tonywelte/rosidlcpp.git,source,Tonywelte,rosidlcpp,True,rosdistro_release_packages
kilted,rosidlcpp_typesupport_introspection_c,rosidlcpp,https://github.com/Tonywelte/rosidlcpp.git,source,Tonywelte,rosidlcpp,True,rosdistro_release_packages
kilted,rosidlcpp_typesupport_introspection_cpp,rosidlcpp,https://github.com/Tonywelte/rosidlcpp.git,source,Tonywelte,rosidlcpp,True,rosdistro_release_packages
kilted,rosx_introspection,rosx_introspection,https://github.com/facontidavide/rosx_introspection.git,source,facontidavide,rosx_introspection,True,rosdistro_release_packages
kilted,rplidar_ros,rplidar_ros,https://github.com/allenh1/rplidar_ros.git,source,allenh1,rplidar_ros,True,rosdistro_release_packages
kilted,rpyutils,rpyutils,https://github.com/ros2/rpyutils.git,source,ros2,rpyutils,True,rosdistro_release_packages
kilted,rqt,rqt,https://github.com/ros-visualization/rqt.git,source,ros-visualization,rqt,True,rosdistro_release_packages
kilted,rqt_action,rqt_action,https://github.com/ros-visualization/rqt_action.git,source,ros-visualization,rqt_action,True,rosdistro_release_packages
