full_name,ros_distro,n_packages_in_distro,repo_url
eclipse-iceoryx/iceoryx,humble,4,https://github.com/eclipse-iceoryx/iceoryx.git
eclipse-zenoh/zenoh-plugin-dds,humble,1,https://github.com/eclipse-zenoh/zenoh-plugin-dds.git
ethz-asl/grid_map_geo,humble,1,https://github.com/ethz-asl/grid_map_geo.git
ethz-asl/libnabo,humble,1,https://github.com/ethz-asl/libnabo.git
eurogroep/fadecandy_ros,humble,2,https://github.com/eurogroep/fadecandy_ros.git
facontidavide/PlotJuggler,humble,1,https://github.com/facontidavide/PlotJuggler.git
facontidavide/cloudini,humble,2,https://github.com/facontidavide/cloudini.git
facontidavide/plotjuggler_msgs,humble,1,https://github.com/facontidavide/plotjuggler_msgs.git
facontidavide/rosx_introspection,humble,1,https://github.com/facontidavide/rosx_introspection.git
fictionlab/ros_aruco_opencv,humble,2,https://github.com/fictionlab/ros_aruco_opencv.git
fictionlab/rosbag2_to_video,humble,1,https://github.com/fictionlab/rosbag2_to_video.git
fkie/async_web_server_cpp,humble,1,https://github.com/fkie/async_web_server_cpp.git
fkie/message_filters,humble,1,https://github.com/fkie/message_filters.git
fkie/potree_rviz_plugin,humble,1,https://github.com/fkie/potree_rviz_plugin.git
flexbe/flexbe_app,humble,1,https://github.com/flexbe/flexbe_app.git
flexbe/flexbe_behavior_engine,humble,9,https://github.com/flexbe/flexbe_behavior_engine.git
flynneva/bno055,humble,1,https://github.com/flynneva/bno055.git
flynneva/grbl_msgs,humble,1,https://github.com/flynneva/grbl_msgs.git
flynneva/grbl_ros,humble,1,https://github.com/flynneva/grbl_ros.git
flynneva/udp_msgs,humble,1,https://github.com/flynneva/udp_msgs.git
fmrico/cascade_lifecycle,humble,2,https://github.com/fmrico/cascade_lifecycle.git
fmrico/popf,humble,1,https://github.com/fmrico/popf.git
foxglove/foxglove-sdk,humble,2,https://github.com/foxglove/foxglove-sdk.git
frankaemika/franka_description,humble,1,https://github.com/frankaemika/franka_description.git
frankaemika/franka_ros2,humble,12,https://github.com/frankaemika/franka_ros2.git
frankaemika/libfranka,humble,1,https://github.com/frankaemika/libfranka.git
fujitatomoya/rcl_logging_syslog,humble,1,https://github.com/fujitatomoya/rcl_logging_syslog.git
fujitatomoya/ros2_persist_parameter_server,humble,1,https://github.com/fujitatomoya/ros2_persist_parameter_server.git
fujitatomoya/ros2ai,humble,1,https://github.com/fujitatomoya/ros2ai.git
fzi-forschungszentrum-informatik/lanelet2,humble,11,https://github.com/fzi-forschungszentrum-informatik/lanelet2.git
gazebosim/ros_gz,humble,12,https://github.com/gazebosim/ros_gz.git
gstavrinos/doom_ros,humble,1,https://github.com/gstavrinos/doom_ros.git
gstavrinos/odom_to_tf_ros2,humble,1,https://github.com/gstavrinos/odom_to_tf_ros2.git
hatchbed/hatchbed_common,humble,1,https://github.com/hatchbed/hatchbed_common.git
hatchbed/log_view,humble,1,https://github.com/hatchbed/log_view.git
husarion/husarion_components_description,humble,1,https://github.com/husarion/husarion_components_description.git
husarion/husarion_ugv_ros,humble,2,https://github.com/husarion/husarion_ugv_ros.git
iRobotEducation/create3_examples,humble,6,https://github.com/iRobotEducation/create3_examples.git
iRobotEducation/create3_sim,humble,5,https://github.com/iRobotEducation/create3_sim.git
iRobotEducation/irobot_create_msgs,humble,1,https://github.com/iRobotEducation/irobot_create_msgs.git
ignition-release/ignition_cmake2_vendor,humble,1,https://github.com/ignition-release/ignition_cmake2_vendor.git
ignition-release/ignition_math6_vendor,humble,1,https://github.com/ignition-release/ignition_math6_vendor.git
ignitionrobotics/ign-rviz,humble,3,https://github.com/ignitionrobotics/ign-rviz.git
ijnek/nao_button_sim,humble,1,https://github.com/ijnek/nao_button_sim.git
ijnek/nao_interfaces,humble,2,https://github.com/ijnek/nao_interfaces.git
ijnek/soccer_object_msgs,humble,1,https://github.com/ijnek/soccer_object_msgs.git
ijnek/soccer_visualization,humble,1,https://github.com/ijnek/soccer_visualization.git
ika-rwth-aachen/etsi_its_messages,humble,35,https://github.com/ika-rwth-aachen/etsi_its_messages.git
ika-rwth-aachen/message_tf_frame_transformer,humble,1,https://github.com/ika-rwth-aachen/message_tf_frame_transformer.git
ika-rwth-aachen/mqtt_client,humble,2,https://github.com/ika-rwth-aachen/mqtt_client.git
introlab/find-object,humble,1,https://github.com/introlab/find-object.git
