full_name,repo_url,distros,n_distros,n_packages_total,resolved_via_breakdown
ctu-vras/ros-utils,https://github.com/ctu-vras/ros-utils.git,jazzy|kilted,2,4,rosdistro_release_packages:8
LeoRover/leo_examples-ros2,https://github.com/LeoRover/leo_examples-ros2.git,jazzy|kilted,2,4,rosdistro_release_packages:4;rosdistro_repo_key_name_match:1
RaphRover/raph_common,https://github.com/RaphRover/raph_common.git,jazzy,1,4,rosdistro_release_packages:4
pal-robotics/aruco_ros,https://github.com/pal-robotics/aruco_ros.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
astuff/automotive_autonomy_msgs,https://github.com/astuff/automotive_autonomy_msgs.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
ros-drivers/axis_camera,https://github.com/ros-drivers/axis_camera.git,humble|jazzy,2,3,rosdistro_release_packages:6
Ekumen-OS/beluga,https://github.com/Ekumen-OS/beluga.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
ros2/cartographer_ros,https://github.com/ros2/cartographer_ros.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
fmrico/cascade_lifecycle,https://github.com/fmrico/cascade_lifecycle.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:7
clearpathrobotics/clearpath_simulator,https://github.com/clearpathrobotics/clearpath_simulator.git,humble|jazzy,2,3,rosdistro_release_packages:6
clearpathrobotics/puma_motor_driver,https://github.com/clearpathrobotics/puma_motor_driver.git,humble,1,3,rosdistro_release_packages:3
MetroRobots/metrics_msgs,https://github.com/MetroRobots/metrics_msgs.git,humble,1,3,rosdistro_release_packages:3
ros-perception/vision_opencv,https://github.com/ros-perception/vision_opencv.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
octomap/octomap,https://github.com/octomap/octomap.git,humble|jazzy,2,3,rosdistro_release_packages:6
ROBOTIS-GIT/DynamixelSDK,https://github.com/ROBOTIS-GIT/DynamixelSDK.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
stonier/ecl_tools,https://github.com/stonier/ecl_tools.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
ros2/rosidl_typesupport_fastrtps,https://github.com/ros2/rosidl_typesupport_fastrtps.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:8
PickNikRobotics/generate_parameter_library,https://github.com/PickNikRobotics/generate_parameter_library.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
ros-geographic-info/geographic_info,https://github.com/ros-geographic-info/geographic_info.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
ros/geometry_tutorials,https://github.com/ros/geometry_tutorials.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
ignitionrobotics/ign-rviz,https://github.com/ignitionrobotics/ign-rviz.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
ros-perception/imu_pipeline,https://github.com/ros-perception/imu_pipeline.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
ros-controls/kinematics_interface,https://github.com/ros-controls/kinematics_interface.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:8
ros2/launch_ros,https://github.com/ros2/launch_ros.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
ros-controls/mujoco_ros2_control,https://github.com/ros-controls/mujoco_ros2_control.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
orbbec/OrbbecSDK_ROS2,https://github.com/orbbec/OrbbecSDK_ROS2.git,humble|jazzy,2,3,rosdistro_release_packages:6
pal-robotics/pal_hey5,https://github.com/pal-robotics/pal_hey5.git,humble,1,3,rosdistro_release_packages:3
pal-robotics/pal_navigation_cfg_public,https://github.com/pal-robotics/pal_navigation_cfg_public.git,humble,1,3,rosdistro_release_packages:3
pal-robotics/pal_robotiq_gripper,https://github.com/pal-robotics/pal_robotiq_gripper.git,humble,1,3,rosdistro_release_packages:3
ros-perception/perception_pcl,https://github.com/ros-perception/perception_pcl.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
pal-robotics/play_motion2,https://github.com/pal-robotics/play_motion2.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
pal-robotics/play_motion_builder,https://github.com/pal-robotics/play_motion_builder.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
rt-net/raspimouse_sim,https://github.com/rt-net/raspimouse_sim.git,humble|jazzy,2,3,rosdistro_release_packages:6
rt-net/raspimouse_slam_navigation_ros2,https://github.com/rt-net/raspimouse_slam_navigation_ros2.git,humble|jazzy,2,3,rosdistro_release_packages:6
ros2/rcl_logging,https://github.com/ros2/rcl_logging.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
IntelRealSense/realsense-ros,https://github.com/IntelRealSense/realsense-ros.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
ros2/rmw,https://github.com/ros2/rmw.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:7
ros2/rmw_connextdds,https://github.com/ros2/rmw_connextdds.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
ros2/rmw_fastrtps,https://github.com/ros2/rmw_fastrtps.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
ros-tooling/graph-monitor,https://github.com/ros-tooling/graph-monitor.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
ros2/rmw_zenoh,https://github.com/ros2/rmw_zenoh.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
suchetanrs/roadmap-explorer,https://github.com/suchetanrs/roadmap-explorer.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:3;rosdistro_repo_key_name_match:2
SICKAG/sick_safevisionary_ros2,https://github.com/SICKAG/sick_safevisionary_ros2.git,humble|jazzy|kilted,3,3,rosdistro_release_packages:9
turtlebot/turtlebot4_tutorials,https://github.com/turtlebot/turtlebot4_tutorials.git,humble,1,3,rosdistro_release_packages:3
cyan-at/ros2_eventdispatch,https://github.com/cyan-at/ros2_eventdispatch.git,jazzy,1,3,rosdistro_release_packages:3
FraunhoferIOSB/multisensor_calibration,https://github.com/FraunhoferIOSB/multisensor_calibration.git,jazzy|kilted,2,3,rosdistro_release_packages:6
ros-navigation/nav2_minimal_turtlebot_simulation,https://github.com/ros-navigation/nav2_minimal_turtlebot_simulation.git,jazzy|kilted,2,3,rosdistro_release_packages:6
chrisib/open_sound_control_ros,https://github.com/chrisib/open_sound_control_ros.git,jazzy,1,3,rosdistro_release_packages:3
botsandus/ament_black,https://github.com/botsandus/ament_black.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
ament/ament_index,https://github.com/ament/ament_index.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
vtalpaert/ardrone-ros2,https://github.com/vtalpaert/ardrone-ros2.git,humble|jazzy,2,2,rosdistro_release_packages:4
namo-robotics/aruco_markers,https://github.com/namo-robotics/aruco_markers.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:4;rosdistro_repo_key_name_match:1
fictionlab/ros_aruco_opencv,https://github.com/fictionlab/ros_aruco_opencv.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
autowarefoundation/autoware_adapi_msgs,https://github.com/autowarefoundation/autoware_adapi_msgs.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
autowarefoundation/autoware_cmake,https://github.com/autowarefoundation/autoware_cmake.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
autowarefoundation/autoware_lanelet2_extension,https://github.com/autowarefoundation/autoware_lanelet2_extension.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
MetroRobots/metro_nav,https://github.com/MetroRobots/metro_nav.git,humble,1,2,rosdistro_release_packages:2
boschglobal/locator_ros_bridge,https://github.com/boschglobal/locator_ros_bridge.git,humble,1,2,rosdistro_release_packages:2
ros-tooling/rosbag2_broll,https://github.com/ros-tooling/rosbag2_broll.git,humble|jazzy|kilted,3,2,rosdistro_release_packages:6
