Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_language,owner_type,size,subscribers_count,watchers_count,languages,Number of pull requests open,Number of pull requests merged,Number of pull requests closed,Number of issues open,Number of issues closed,Average time to close a pull request (days),Average time to close an issue (days),Average number of commits per month,Average number of newcomers per month,Average number of forks per month,Average number of stars per month,Size of README (KB),Size of CONTRIBUTING (KB),Size of CODE_OF_CONDUCT (KB),Repository age (months),full_name,distros_present,exclusion_reasons
graph-monitor,ros-tooling,ROS Graph Monitor - libraries and nodes to check the ROS application structure as a whole,https://github.com/ros-tooling/graph-monitor,202,31,6,20,,Apache-2.0,True,False,False,False,False,True,good first issue,3,48,2024-10-21T10:56:31Z,16,1345,0,code,Organization,202,4,31,C++;Python;CMake;C,1,17,22,19,5,1.66,24.64,4.36,0.27,0.55,2.82,7.58,0.0,0.0,11,ros-tooling/graph-monitor,humble|jazzy|kilted,
rmw_zenoh,ros2,RMW for ROS 2 using Zenoh as the middleware,https://github.com/ros2/rmw_zenoh,1823,431,77,52,,Apache-2.0,True,True,False,False,False,True,good first issue,42,422,2020-07-04T06:30:23Z,3,254,0,config,Organization,1823,42,431,C++;CMake,7,590,651,45,209,10.38,55.54,6.21,0.62,1.13,6.34,22.0,0.89,0.0,68,ros2/rmw_zenoh,humble|jazzy|kilted,
roadmap-explorer,suchetanrs,A fast and reliable roadmap-based robot exploration module,https://github.com/suchetanrs/roadmap-explorer,18104,44,6,5,exploration;nav2;navigation;robotics;ros2,Apache-2.0,True,False,False,False,False,True,good first issue,1,74,2025-05-20T11:06:59Z,77,10659,0,code,User,18104,6,44,C++;CMake;Python,0,14,15,5,3,0.97,1.15,7.4,0.2,0.6,4.4,7.04,0.0,0.0,10,suchetanrs/roadmap-explorer,humble|jazzy|kilted,
sick_safevisionary_ros2,SICKAG,ROS2 driver for SICK safeVisionary 3D cameras,https://github.com/SICKAG/sick_safevisionary_ros2,171,8,4,3,,Apache-2.0,True,False,False,False,True,True,good first issue,5,98,2023-06-23T13:58:04Z,8,348,2,code,Organization,171,4,8,C++;Python;CMake,1,11,11,2,1,13.43,54.52,3.06,0.16,0.12,0.25,2.68,0.0,0.0,32,SICKAG/sick_safevisionary_ros2,humble|jazzy|kilted,
turtlebot4_tutorials,turtlebot,TurtleBot 4 Tutorial packages,https://github.com/turtlebot/turtlebot4_tutorials,15905,8,6,0,,MIT,True,False,False,True,False,True,good first issue,4,42,2022-05-12T20:17:30Z,20,529,0,code,Organization,15905,4,8,Python;C++;CMake,0,6,7,0,4,4.45,100.17,0.91,0.09,0.13,0.17,0.65,0.0,0.0,46,turtlebot/turtlebot4_tutorials,humble,
multisensor_calibration,FraunhoferIOSB,"Universal calibration toolbox for assisted, target-based multi-sensor calibration with ROS 1 and ROS 2 support.",https://github.com/FraunhoferIOSB/multisensor_calibration,25786,109,10,14,autonomous-robots;camera-lidar-calibration;lidar-calibration;ros;ros2,BSD-3-Clause,True,True,False,False,False,False,,3,97,2025-02-10T11:11:49Z,4,210,0,docs,Organization,25786,8,109,C++;CMake;Python;Shell;C,0,2,2,14,5,0.41,43.9,6.93,0.21,0.71,7.79,4.91,2.51,0.0,14,FraunhoferIOSB/multisensor_calibration,jazzy|kilted,
nav2_minimal_turtlebot_simulation,ros-navigation,A minimum description & simulation of the TB4 using standard ROS-GZ tools,https://github.com/ros-navigation/nav2_minimal_turtlebot_simulation,6495,25,19,1,,Apache-2.0,True,False,False,False,False,True,good first issue,8,30,2024-05-30T20:31:22Z,2,203,0,docs,Organization,6495,4,25,Python;CMake,0,20,25,1,8,14.08,47.91,1.36,0.41,0.86,1.14,0.32,0.0,0.0,22,ros-navigation/nav2_minimal_turtlebot_simulation,jazzy|kilted,
open_sound_control_ros,chrisib,,https://github.com/chrisib/open_sound_control_ros,56,0,0,0,,Apache-2.0,True,False,False,False,False,True,good first issue,1,23,2025-03-14T22:52:26Z,14,641,0,code,User,56,1,0,Python;CMake,0,0,0,0,0,,,1.92,0.08,0.0,0.0,9.98,0.0,0.0,12,chrisib/open_sound_control_ros,jazzy,
ament_index,ament,,https://github.com/ament/ament_index,220,14,31,3,,Apache-2.0,True,True,False,False,False,True,good first issue,28,165,2015-06-25T23:55:08Z,2,215,0,docs,Organization,220,17,14,C++;Python;CMake;C;Shell;Batchfile;Makefile,2,88,94,1,15,6.54,328.14,1.28,0.22,0.24,0.11,0.28,0.89,0.0,129,ament/ament_index,humble|jazzy|kilted,
ardrone-ros2,vtalpaert,"Exports ARDRONE ARSDK3 from Parrot as a ROS2 package. A node for the Jumping Sumo is provided, but more nodes are welcome in PR.",https://github.com/vtalpaert/ardrone-ros2,2915,1,1,0,ardrone;arsdk;jumpingsumo;parrot-ar-drone;ros2,,True,False,False,False,False,True,good first issue,2,45,2024-11-07T08:54:27Z,10,627,0,code,User,2915,1,1,C;C++;Objective-C;CMake;Shell;Dockerfile,0,1,1,0,0,10.58,,2.81,0.12,0.06,0.06,4.29,0.0,0.0,16,vtalpaert/ardrone-ros2,humble|jazzy,
