Name,Owner,Description,GitHub URL,Repository Size,Number of stars,Number of forks,Number of open issues,List of topics,License,has_readme,has_contributing,has_code_of_conduct,has_pr_template,has_issue_template,has_newcomer_labels,found_newcomer_labels,contributors_count,commits_count,first_contributor_date,first_commit_files_changed,first_commit_additions,first_commit_deletions,first_commit_language,owner_type,size,subscribers_count,watchers_count,languages,Number of pull requests open,Number of pull requests merged,Number of pull requests closed,Number of issues open,Number of issues closed,Average time to close a pull request (days),Average time to close an issue (days),Average number of commits per month,Average number of newcomers per month,Average number of forks per month,Average number of stars per month,Size of README (KB),Size of CONTRIBUTING (KB),Size of CODE_OF_CONDUCT (KB),Repository age (months),full_name,distros_present,exclusion_reasons
sophus,clalancette,C++ implementation of Lie Groups using Eigen.,https://github.com/clalancette/sophus,1409,0,3,0,,,True,False,False,False,False,True,good first issue,1,10,2019-10-13T23:27:18Z,1,9,0,other,User,1409,0,0,,0,5,5,0,0,5.79,,0.29,0.03,0.09,0.0,1.81,0.0,0.0,34,clalancette/sophus,humble|jazzy|kilted,no_programming_languages;is_fork
ros2_system_webview,namo-robotics,,https://github.com/namo-robotics/ros2_system_webview,899,31,1,0,,MIT,True,False,False,False,False,True,good first issue,1,24,2026-02-09T08:23:10Z,1,1,0,docs,Organization,899,3,31,TypeScript;HTML;C++;Shell;Python;CMake;Dockerfile;JavaScript;CSS,0,0,0,0,1,,0.6,24.0,1.0,1.0,31.0,3.5,0.0,0.0,1,namo-robotics/ros2_system_webview,humble|jazzy|kilted,created_recently_6mo
teleop_twist_joy,ros2,Simple joystick teleop for twist robots,https://github.com/ros2/teleop_twist_joy,122,83,91,2,,Other,True,False,False,False,False,True,good first issue,22,120,2014-07-21T14:00:57Z,2,56,0,config,Organization,122,10,83,C++;Python;CMake,1,46,52,1,13,33.67,46.33,1.14,0.24,0.87,0.79,4.15,0.0,0.0,105,ros2/teleop_twist_joy,humble|jazzy|kilted,is_fork
teleop_twist_keyboard,ros2,Generic Keyboard Teleop for ROS 2,https://github.com/ros2/teleop_twist_keyboard,41,48,53,1,,Other,True,True,False,False,False,True,good first issue,15,61,2014-02-12T05:50:55Z,3,138,0,code,Organization,41,11,48,Python,1,24,32,0,9,47.68,79.8,0.58,0.16,0.5,0.46,1.33,0.16,0.0,105,ros2/teleop_twist_keyboard,humble|jazzy|kilted,is_fork
tf_tree_terminal,Tanneguydv,A lightweight ROS 2 utility to visualize the Coordinate Transform (TF) tree directly in the terminal with a folder-style structure.,https://github.com/Tanneguydv/tf_tree_terminal,72,61,2,0,,MIT,True,False,False,False,False,True,good first issue,1,32,2025-12-23T10:12:03Z,12,297,0,code,User,72,2,61,Python,0,0,0,0,1,,7.48,10.67,0.33,0.67,20.33,5.8,0.0,0.0,3,Tanneguydv/tf_tree_terminal,humble|jazzy|kilted,created_recently_6mo
topic_based_ros2_control-release,ros2-gbp,,https://github.com/ros2-gbp/topic_based_ros2_control-release,236,0,5,0,,,True,False,False,False,False,True,good first issue,4,58,2023-05-24T21:09:28Z,1,1,0,config,Organization,236,8,0,,0,0,0,0,0,,,2.32,0.16,0.2,0.0,10.8,0.0,0.0,25,ros2-gbp/topic_based_ros2_control-release,humble,no_programming_languages
zed-ros2-description,stereolabs,Contains URDF and meshes to create models of Stereolabs ZED Cameras.,https://github.com/stereolabs/zed-ros2-description,2743,1,1,0,,Apache-2.0,True,True,False,False,False,False,,2,21,2026-01-08T17:37:15Z,1,2,0,docs,Organization,2743,0,1,Python;CMake,0,1,1,0,0,15.88,,10.5,1.0,0.5,0.5,3.28,2.07,0.0,2,stereolabs/zed-ros2-description,humble|jazzy,created_recently_6mo
daheng4ros,vdovetzi,ROS2 driver for Daheng Imaging VEN-U3 Board Level Series cameras,https://github.com/vdovetzi/daheng4ros,127,0,0,0,c;camera;cpp;daheng-imaging;image-enhancements;ros2;ven-series,MIT,True,False,False,False,False,True,good first issue,1,4,2025-10-15T11:48:20Z,2,23,0,docs,User,127,0,0,C;C++;CMake;Python,0,0,0,0,0,,,0.8,0.2,0.0,0.0,2.37,0.0,0.0,5,vdovetzi/daheng4ros,jazzy,created_recently_6mo
lightning_rrt,david-dorf,ROS 2 Jazzy package for obtaining 2D navigation paths using the Rapidly-exploring Random Tree (RRT) algorithm.,https://github.com/david-dorf/lightning_rrt,49,1,1,1,,MIT,True,False,False,False,False,True,good first issue,1,29,2025-12-21T01:32:29Z,5,114,0,config,User,49,1,1,C++;CMake,1,0,0,0,0,,,9.67,0.67,0.33,0.33,1.08,0.0,0.0,3,david-dorf/lightning_rrt,jazzy,created_recently_6mo
lightning_rrt_interfaces,david-dorf,ROS 2 Jazzy package containing custom messages for lightning_rrt,https://github.com/david-dorf/lightning_rrt_interfaces,25,0,0,0,,MIT,True,False,False,False,False,True,good first issue,1,5,2025-12-28T01:23:26Z,1,1,0,docs,User,25,0,0,CMake,0,0,0,0,0,,,1.67,0.67,0.0,0.0,0.14,0.0,0.0,3,david-dorf/lightning_rrt_interfaces,jazzy,created_recently_6mo
mp_units_vendor,nobleo,Vendor package for the mp-units library,https://github.com/nobleo/mp_units_vendor,8,1,0,0,,Apache-2.0,True,False,False,False,False,True,good first issue,1,4,2025-10-10T05:25:27Z,1,201,0,other,Organization,8,1,1,CMake,0,0,0,0,0,,,0.8,0.2,0.0,0.2,0.44,0.0,0.0,5,nobleo/mp_units_vendor,jazzy|kilted,created_recently_6mo
odri_master_board_sdk_release,stack-of-tasks,Hardware and Firmware of the Solo Quadruped Master Board,https://github.com/stack-of-tasks/odri_master_board_sdk_release,10397,0,2,0,,BSD-2-Clause,True,False,False,False,False,True,good first issue,18,562,2019-07-25T11:22:36Z,2,27,0,docs,Organization,10397,0,0,C++;C;Python;CMake;Makefile;Shell,0,1,1,0,0,23.82,,20.07,0.96,0.07,0.0,2.58,0.0,0.0,28,stack-of-tasks/odri_master_board_sdk_release,jazzy|kilted,is_fork
point_cloud_transport_tutorial,ros-perception,"This repository provides tutorial, which discusses running sample publisher and subscriber using multiple transports of point_cloud_transport.",https://github.com/ros-perception/point_cloud_transport_tutorial,790,11,4,1,,BSD-3-Clause,True,True,False,False,False,True,good first issue,4,56,2019-08-02T10:29:46Z,5,123,0,code,Organization,790,0,11,C++;Python;CMake,1,19,20,0,0,7.53,,1.75,0.12,0.12,0.34,14.09,0.16,0.0,32,ros-perception/point_cloud_transport_tutorial,jazzy|kilted,is_fork
ros2_snapshot,cnurobotics,Python-based ROS 2 tools that can be used to capture a software model of a ROS 2 Workspace and running ROS deployment.,https://github.com/CNURobotics/ros2_snapshot,78,0,0,0,,Apache-2.0,True,True,False,False,False,True,good first issue,0,6,2026-01-29T22:37:29Z,62,8518,0,code,Organization,78,0,0,Python,0,0,0,0,0,,,3.0,0.5,0.0,0.0,4.17,0.89,0.0,2,CNURobotics/ros2_snapshot,jazzy|kilted,created_recently_6mo
mobile_robot_simulator,nobleo,"A simple ROS simulator for mobile robots. Simply subscribes to incoming velocity commands, and updates odometry based on this.",https://github.com/nobleo/mobile_robot_simulator,56,3,1,0,,BSD-3-Clause,True,False,False,False,False,True,good first issue,4,59,2015-10-31T12:07:04Z,4,363,0,code,Organization,56,0,3,C++;CMake,0,7,8,0,0,131.22,,0.84,0.09,0.01,0.04,3.81,0.0,0.0,70,nobleo/mobile_robot_simulator,kilted,is_fork
rplidar_ros,allenh1,,https://github.com/allenh1/rplidar_ros,424,45,44,16,,BSD-2-Clause,True,False,False,False,False,True,good first issue,17,75,2014-05-06T17:37:34Z,2,25,0,docs,User,424,5,45,C++;C;Python;CMake;Shell,4,17,20,12,4,60.56,46.45,0.82,0.23,0.48,0.49,1.57,0.0,0.0,91,allenh1/rplidar_ros,kilted,is_fork
